00:00:00.014572 main     VirtualBox COM Server 7.0.6 r155176 win.amd64 (Jan 11 2023 16:38:38) release log
00:00:17.169643          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening 'C:\Users\hhane\VirtualBox VMs\Kali Linux\Kali Linux.vbox' for reading VERR_PATH_NOT_FOUND (Path not found.).
00:00:17.169664          F:\tinderbox\win-rel\src\VBox\Main\src-server\MachineImpl.cpp[1025] (long __cdecl Machine::i_registeredInit(void))}, preserve=false aResultDetail=0
00:00:17.175951          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening 'C:\Users\hhane\VirtualBox VMs\Kali Linux\Kali Linux.vbox' for reading VERR_PATH_NOT_FOUND (Path not found.).
00:00:17.175964          F:\tinderbox\win-rel\src\VBox\Main\src-server\MachineImpl.cpp[1025] (long __cdecl Machine::i_registeredInit(void))}, preserve=false aResultDetail=0
00:00:17.366867          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening 'C:\Users\hhane\VirtualBox VMs\Kali Linux\Kali Linux.vbox' for reading VERR_PATH_NOT_FOUND (Path not found.).
00:00:17.366877          F:\tinderbox\win-rel\src\VBox\Main\src-server\MachineImpl.cpp[1025] (long __cdecl Machine::i_registeredInit(void))}, preserve=false aResultDetail=0
00:00:17.367537          ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:17.369795          ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:17.374587          ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:17.376801          ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:17.389185          ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:17.392397          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening 'C:\Users\hhane\VirtualBox VMs\Xubuntu\Xubuntu.vbox' for reading VERR_PATH_NOT_FOUND (Path not found.).
00:00:17.392408          F:\tinderbox\win-rel\src\VBox\Main\src-server\MachineImpl.cpp[1025] (long __cdecl Machine::i_registeredInit(void))}, preserve=false aResultDetail=0
